,name,artist_id,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,A-Movie,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2021-10-18,498146,0,0.597,0.755,0.594,7.26e-05,0.311,-14.565,0.723,107.651,4
1,Save the Children,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2021-10-18,477866,0,0.51,0.854,0.283,0.000622,0.678,-15.934,0.0308,89.619,4
2,The Bottle,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2021-10-18,541466,1,0.494,0.413,0.741,0.000283,0.0449,-11.993,0.114,119.714,4
3,Three Miles Down,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2021-10-18,396133,0,0.646,0.793,0.526,0.000124,0.522,-13.553,0.072,101.183,4
4,Washington DC,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2021-10-18,412800,0,0.586,0.789,0.512,0.000413,0.713,-13.911,0.266,107.044,4
5,Alien,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2021-10-18,572426,0,0.459,0.766,0.727,0.0,0.959,-11.668,0.593,107.96,4
6,Winter In America,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2021-10-18,525146,0,0.415,0.919,0.386,0.00017,0.395,-14.237,0.184,151.405,4
7,Johannesburg,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2021-10-18,325920,0,0.584,0.795,0.615,1.55e-06,0.427,-11.645,0.465,115.565,4
8,Gun,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2021-10-18,258720,0,0.637,0.707,0.598,2.5e-05,0.368,-13.319,0.294,109.436,4
9,A-Movie,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2020-04-03,498146,10,0.597,0.755,0.594,7.26e-05,0.311,-14.565,0.723,107.651,4
10,Save the Children,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2020-04-03,477866,9,0.51,0.854,0.283,0.000622,0.678,-15.934,0.0308,89.619,4
11,The Bottle,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2020-04-03,541466,9,0.494,0.413,0.741,0.000283,0.0449,-11.993,0.114,119.714,4
12,Three Miles Down,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2020-04-03,396133,7,0.646,0.793,0.526,0.000124,0.522,-13.553,0.072,101.183,4
13,Washington DC,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2020-04-03,412800,6,0.586,0.789,0.512,0.000413,0.713,-13.911,0.266,107.044,4
14,Alien,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2020-04-03,572426,6,0.459,0.766,0.727,0.0,0.959,-11.668,0.593,107.96,4
15,Winter In America,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2020-04-03,525146,6,0.415,0.919,0.386,0.00017,0.395,-14.237,0.184,151.405,4
16,Johannesburg,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2020-04-03,325920,5,0.584,0.795,0.615,1.55e-06,0.427,-11.645,0.465,115.565,4
17,Gun,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2020-04-03,258720,5,0.637,0.707,0.598,2.5e-05,0.368,-13.319,0.294,109.436,4
18,Special Tribute - Broken Home pt. 1,0kEfub5RzlZOB2zGomqVSU,We're New Again - A Reimagining by Makaya McCraven,Gil Scott-Heron,2020-02-07,42333,20,0.613,0.749,0.0217,0.853,0.114,-21.758,0.108,72.631,3
19,I'm New Here,0kEfub5RzlZOB2zGomqVSU,We're New Again - A Reimagining by Makaya McCraven,Gil Scott-Heron,2020-02-07,253453,29,0.767,0.744,0.613,0.227,0.096,-9.721,0.037,119.979,4
20,Running,0kEfub5RzlZOB2zGomqVSU,We're New Again - A Reimagining by Makaya McCraven,Gil Scott-Heron,2020-02-07,124426,26,0.796,0.546,0.706,0.0082,0.117,-7.889,0.217,107.16,4
21,Blessed Parents,0kEfub5RzlZOB2zGomqVSU,We're New Again - A Reimagining by Makaya McCraven,Gil Scott-Heron,2020-02-07,69480,19,0.385,0.619,0.547,0.000117,0.176,-11.561,0.126,96.775,5
22,New York is Killing Me,0kEfub5RzlZOB2zGomqVSU,We're New Again - A Reimagining by Makaya McCraven,Gil Scott-Heron,2020-02-07,319186,21,0.66,0.308,0.818,2.77e-05,0.107,-7.601,0.0754,102.98,4
23,The Patch - Broken Home pt. 2,0kEfub5RzlZOB2zGomqVSU,We're New Again - A Reimagining by Makaya McCraven,Gil Scott-Heron,2020-02-07,76413,18,0.721,0.917,0.273,0.0469,0.115,-18.782,0.263,83.12,4
24,People of the Light,0kEfub5RzlZOB2zGomqVSU,We're New Again - A Reimagining by Makaya McCraven,Gil Scott-Heron,2020-02-07,174240,18,0.542,0.00604,0.463,0.139,0.116,-9.724,0.101,86.892,4
25,Being Blessed,0kEfub5RzlZOB2zGomqVSU,We're New Again - A Reimagining by Makaya McCraven,Gil Scott-Heron,2020-02-07,14093,0,0.0,0.653,0.258,0.0,0.107,-19.363,0.0,0.0,0
26,Where Did the Night Go,0kEfub5RzlZOB2zGomqVSU,We're New Again - A Reimagining by Makaya McCraven,Gil Scott-Heron,2020-02-07,157466,24,0.498,0.325,0.396,0.0,0.164,-10.11,0.438,115.473,5
27,Lily Scott - Broken Home pt.3,0kEfub5RzlZOB2zGomqVSU,We're New Again - A Reimagining by Makaya McCraven,Gil Scott-Heron,2020-02-07,65280,17,0.511,0.845,0.176,0.000492,0.113,-21.538,0.258,136.201,4
28,I'll Take Care of You,0kEfub5RzlZOB2zGomqVSU,We're New Again - A Reimagining by Makaya McCraven,Gil Scott-Heron,2020-02-07,205320,27,0.597,0.104,0.422,0.0556,0.119,-10.545,0.0515,167.853,4
29,I've Been Me,0kEfub5RzlZOB2zGomqVSU,We're New Again - A Reimagining by Makaya McCraven,Gil Scott-Heron,2020-02-07,35893,16,0.772,0.0633,0.299,0.111,0.107,-21.965,0.203,142.841,4
30,This Can't Be Real,0kEfub5RzlZOB2zGomqVSU,We're New Again - A Reimagining by Makaya McCraven,Gil Scott-Heron,2020-02-07,89826,23,0.746,0.0236,0.684,0.819,0.118,-6.973,0.055,93.129,4
31,Piano Player,0kEfub5RzlZOB2zGomqVSU,We're New Again - A Reimagining by Makaya McCraven,Gil Scott-Heron,2020-02-07,36400,16,0.615,0.906,0.274,0.4,0.109,-16.627,0.356,117.889,5
32,The Crutch,0kEfub5RzlZOB2zGomqVSU,We're New Again - A Reimagining by Makaya McCraven,Gil Scott-Heron,2020-02-07,153613,17,0.741,0.492,0.227,0.532,0.138,-10.726,0.21,96.368,4
33,Guided - Broken Home pt.4,0kEfub5RzlZOB2zGomqVSU,We're New Again - A Reimagining by Makaya McCraven,Gil Scott-Heron,2020-02-07,117466,16,0.658,0.912,0.399,0.00775,0.124,-17.056,0.0589,89.879,3
34,Certain Bad Things,0kEfub5RzlZOB2zGomqVSU,We're New Again - A Reimagining by Makaya McCraven,Gil Scott-Heron,2020-02-07,13266,0,0.0,0.838,0.507,0.0,0.34,-15.084,0.0,0.0,0
35,Me and the Devil,0kEfub5RzlZOB2zGomqVSU,We're New Again - A Reimagining by Makaya McCraven,Gil Scott-Heron,2020-02-07,287518,21,0.665,0.0694,0.554,0.0708,0.119,-7.72,0.0843,83.478,4
36,Introduction/The Revolution Will Not Be Televised - Original,0kEfub5RzlZOB2zGomqVSU,Small Talk at 125th and Lenox,Gil Scott-Heron,2020,202920,0,0.683,0.843,0.621,0.0,0.899,-10.715,0.67,138.78,4
37,Omen - Original,0kEfub5RzlZOB2zGomqVSU,Small Talk at 125th and Lenox,Gil Scott-Heron,2020,105493,0,0.601,0.805,0.34,0.0,0.224,-12.773,0.499,56.916,3
38,Brother - Original,0kEfub5RzlZOB2zGomqVSU,Small Talk at 125th and Lenox,Gil Scott-Heron,2020,156040,0,0.598,0.864,0.655,0.0,0.0913,-10.582,0.768,180.611,3
39,Comment #1 - Original,0kEfub5RzlZOB2zGomqVSU,Small Talk at 125th and Lenox,Gil Scott-Heron,2020,267640,0,0.622,0.827,0.672,0.0,0.898,-10.163,0.635,92.24,3
40,Small Talk At 125th & Lenox - Original,0kEfub5RzlZOB2zGomqVSU,Small Talk at 125th and Lenox,Gil Scott-Heron,2020,81546,0,0.667,0.902,0.723,0.0,0.118,-10.119,0.369,142.671,3
41,The Subject Was Faggots - Original,0kEfub5RzlZOB2zGomqVSU,Small Talk at 125th and Lenox,Gil Scott-Heron,2020,191853,0,0.531,0.853,0.491,0.0,0.801,-11.223,0.365,66.845,4
42,Evolution (And Flashback) - Original,0kEfub5RzlZOB2zGomqVSU,Small Talk at 125th and Lenox,Gil Scott-Heron,2020,203973,0,0.685,0.842,0.707,5.66e-05,0.644,-10.187,0.101,111.933,4
43,Plastic Pattern People - Original,0kEfub5RzlZOB2zGomqVSU,Small Talk at 125th and Lenox,Gil Scott-Heron,2020,173360,0,0.703,0.848,0.47,0.0,0.0818,-10.537,0.411,101.741,4
44,Whitey on the Moon - Original,0kEfub5RzlZOB2zGomqVSU,Small Talk at 125th and Lenox,Gil Scott-Heron,2020,119520,0,0.659,0.841,0.558,3.72e-06,0.727,-11.459,0.278,111.219,4
45,The Vulture - Original,0kEfub5RzlZOB2zGomqVSU,Small Talk at 125th and Lenox,Gil Scott-Heron,2020,273066,1,0.736,0.849,0.599,0.00163,0.83,-9.393,0.0548,104.543,3
46,Enough - Original,0kEfub5RzlZOB2zGomqVSU,Small Talk at 125th and Lenox,Gil Scott-Heron,2020,253560,0,0.815,0.786,0.706,0.0,0.946,-10.438,0.434,124.559,4
47,Paint It Black - Original,0kEfub5RzlZOB2zGomqVSU,Small Talk at 125th and Lenox,Gil Scott-Heron,2020,33680,0,0.684,0.869,0.195,7.32e-05,0.312,-22.54,0.781,101.187,5
48,Who'll Pay Reparations on My Soul? - Original,0kEfub5RzlZOB2zGomqVSU,Small Talk at 125th and Lenox,Gil Scott-Heron,2020,316906,0,0.79,0.85,0.658,0.000229,0.402,-7.792,0.0908,135.964,4
49,Everyday - Original,0kEfub5RzlZOB2zGomqVSU,Small Talk at 125th and Lenox,Gil Scott-Heron,2020,262706,0,0.476,0.788,0.583,2e-05,0.748,-7.977,0.0953,96.375,4
50,Introduction - Live 1983,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,84520,7,0.519,0.932,0.465,2.27e-06,0.401,-21.973,0.92,96.212,5
51,We Almost Lost Detroit - Live 1983,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,342714,23,0.468,0.983,0.229,0.00699,0.704,-15.197,0.21,82.284,4
52,Intro to Angola Louisiana - Live 1983,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,133003,7,0.565,0.968,0.168,0.0104,0.167,-21.535,0.0902,105.049,4
53,Angola Louisiana - Live 1983,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,319648,13,0.613,0.984,0.193,0.000112,0.701,-14.252,0.0538,120.309,4
54,Intro to Three Miles Down - Live 1983,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,250685,7,0.501,0.862,0.378,0.0,0.85,-18.704,0.946,84.615,4
55,Three Miles Down - Live 1983,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,274900,10,0.537,0.942,0.203,0.0,0.82,-13.969,0.13,90.0,4
56,B Movie - Live 1983,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,988487,7,0.581,0.83,0.507,0.0219,0.927,-13.844,0.2,98.241,4
57,Intro to A Legend In His Own Mind - Live 1983,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,63073,5,0.686,0.951,0.232,1e-06,0.106,-21.471,0.66,112.698,3
58,A Legend In His Own Mind - Live 1983,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,314920,6,0.572,0.748,0.66,0.128,0.976,-11.701,0.259,89.903,4
59,Intro to Winter In America - Live 1983,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,30890,5,0.67,0.867,0.236,0.0,0.123,-21.63,0.749,125.201,4
60,Winter In America - Live 1983,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,469460,6,0.485,0.631,0.514,0.00498,0.985,-12.064,0.148,155.251,4
61,Band Introductions - Live 1983,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,207165,4,0.489,0.705,0.477,1.93e-05,0.821,-14.504,0.893,88.925,3
62,Intro to Shut 'em Down - Live 1983,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,86348,4,0.708,0.836,0.32,0.0,0.541,-15.096,0.904,73.388,4
63,Shut 'em Down - Live 1983,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,381375,4,0.601,0.346,0.548,0.000359,0.618,-10.722,0.0638,104.895,4
64,Intro to Washington DC - Live 1983,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,82430,4,0.557,0.839,0.158,0.0,0.283,-24.735,0.286,93.014,4
65,Washington DC - Live 1983,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,279367,4,0.617,0.828,0.47,0.103,0.749,-13.61,0.0668,100.479,4
66,Intro to The Bottle - Live 1983,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,89640,4,0.512,0.806,0.234,6.39e-06,0.179,-14.586,0.0991,82.602,4
67,The Bottle - Live 1983,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,840974,8,0.626,0.588,0.687,2.21e-05,0.707,-10.737,0.0779,125.588,4
68,Intro to Better Days Ahead - Live 1983,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,68428,3,0.651,0.765,0.293,3.85e-06,0.815,-21.305,0.811,83.436,4
69,Better Days Ahead - Live 1983,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,666423,5,0.352,0.762,0.433,0.497,0.379,-12.597,0.146,52.725,4
70,Intro to Johannesburg - Live 1983,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,278975,3,0.569,0.901,0.306,0.000395,0.144,-15.359,0.418,108.283,3
71,Johannesburg - Live 1983,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,431896,3,0.581,0.334,0.624,4.74e-05,0.425,-9.717,0.0407,109.357,4
72,Winter In America - Live 1984,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,272706,4,0.513,0.965,0.501,0.00155,0.977,-9.845,0.118,79.925,4
73,Not Needed - Live 1984,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,243188,3,0.655,0.867,0.803,3.3e-06,0.475,-7.831,0.0775,104.055,4
74,The Revolution Will Not Be Televised - Live 1993,0kEfub5RzlZOB2zGomqVSU,"Plug In, Turn On, Cop Out (Live 1983)",Gil Scott-Heron,2019-12-02,316226,4,0.525,0.136,0.781,0.0,0.972,-10.483,0.474,132.767,4
75,Shut 'em Down - Live,0kEfub5RzlZOB2zGomqVSU,Live in The Bottle,Gil Scott-Heron,2019-11-12,419626,6,0.596,0.622,0.629,3.89e-05,0.619,-12.676,0.349,107.655,4
76,Johannesburg - Live,0kEfub5RzlZOB2zGomqVSU,Live in The Bottle,Gil Scott-Heron,2019-11-12,325920,6,0.537,0.796,0.615,1.54e-06,0.427,-11.645,0.46,115.373,4
77,Alien - Live,0kEfub5RzlZOB2zGomqVSU,Live in The Bottle,Gil Scott-Heron,2019-11-12,572426,6,0.459,0.767,0.728,0.0,0.959,-11.668,0.596,107.966,4
78,Is That Jazz - Live,0kEfub5RzlZOB2zGomqVSU,Live in The Bottle,Gil Scott-Heron,2019-11-12,307240,5,0.355,0.832,0.54,0.000305,0.655,-12.536,0.398,76.288,4
79,The Bottle - Live,0kEfub5RzlZOB2zGomqVSU,Live in The Bottle,Gil Scott-Heron,2019-11-12,541466,12,0.494,0.413,0.741,0.000286,0.0449,-11.993,0.113,119.716,4
80,Winter In America - Live,0kEfub5RzlZOB2zGomqVSU,Live in The Bottle,Gil Scott-Heron,2019-11-12,525146,7,0.434,0.919,0.386,0.00016,0.395,-14.237,0.179,151.397,4
81,Save the Children - Live,0kEfub5RzlZOB2zGomqVSU,Live in The Bottle,Gil Scott-Heron,2019-11-12,477866,4,0.509,0.854,0.283,0.000646,0.678,-15.934,0.0307,89.564,4
82,Gun - Live,0kEfub5RzlZOB2zGomqVSU,Live in The Bottle,Gil Scott-Heron,2019-11-12,258720,5,0.636,0.709,0.598,2.77e-05,0.368,-13.319,0.294,109.444,4
83,Washington DC - Live,0kEfub5RzlZOB2zGomqVSU,Live in The Bottle,Gil Scott-Heron,2019-11-12,412800,4,0.584,0.79,0.511,0.000397,0.714,-13.911,0.262,107.046,4
84,B Movie - Live,0kEfub5RzlZOB2zGomqVSU,Live in The Bottle,Gil Scott-Heron,2019-11-12,498146,4,0.596,0.754,0.594,7.34e-05,0.311,-14.565,0.726,107.318,4
85,Blue Collar - Live,0kEfub5RzlZOB2zGomqVSU,Live in The Bottle,Gil Scott-Heron,2019-11-12,701560,4,0.448,0.811,0.651,0.000909,0.631,-13.183,0.526,95.1,4
86,Three Miles Down - Live,0kEfub5RzlZOB2zGomqVSU,Live in The Bottle,Gil Scott-Heron,2019-11-12,396133,4,0.646,0.792,0.526,0.000124,0.521,-13.553,0.0723,101.185,4
87,Washington D.C.,0kEfub5RzlZOB2zGomqVSU,Tour De Force,Gil Scott-Heron,2019-07-14,320386,4,0.454,0.708,0.609,0.04,0.972,-13.74,0.0838,102.522,4
88,Winter in America,0kEfub5RzlZOB2zGomqVSU,Tour De Force,Gil Scott-Heron,2019-07-14,524813,4,0.406,0.861,0.437,0.000107,0.396,-13.48,0.189,151.496,4
89,Is That Jazz,0kEfub5RzlZOB2zGomqVSU,Tour De Force,Gil Scott-Heron,2019-07-14,307160,3,0.439,0.709,0.617,0.000471,0.751,-11.568,0.355,112.511,4
90,Blue Collar,0kEfub5RzlZOB2zGomqVSU,Tour De Force,Gil Scott-Heron,2019-07-14,701346,3,0.476,0.721,0.706,0.001,0.849,-12.572,0.519,94.736,4
91,Johannesburg,0kEfub5RzlZOB2zGomqVSU,Tour De Force,Gil Scott-Heron,2019-07-14,326280,2,0.617,0.719,0.646,7.86e-06,0.53,-11.929,0.458,115.448,4
92,Three Miles Down,0kEfub5RzlZOB2zGomqVSU,Tour De Force,Gil Scott-Heron,2019-07-14,374173,4,0.642,0.688,0.703,0.000472,0.662,-10.093,0.0997,101.242,4
93,Gun,0kEfub5RzlZOB2zGomqVSU,Tour De Force,Gil Scott-Heron,2019-07-14,258320,2,0.629,0.643,0.759,7.82e-05,0.44,-9.163,0.341,109.511,4
94,Save the Children,0kEfub5RzlZOB2zGomqVSU,Tour De Force,Gil Scott-Heron,2019-07-14,485413,2,0.334,0.828,0.425,0.00146,0.688,-11.438,0.0385,177.672,4
95,Angel Dust,0kEfub5RzlZOB2zGomqVSU,Tour De Force,Gil Scott-Heron,2019-07-14,1400666,9,0.345,0.311,0.616,0.000165,0.722,-10.688,0.224,70.685,4
96,Shut 'Em Down,0kEfub5RzlZOB2zGomqVSU,Tour De Force,Gil Scott-Heron,2019-07-14,421880,3,0.545,0.489,0.699,0.000398,0.684,-11.401,0.396,107.101,4
97,Alien (Hold on to Your Dream),0kEfub5RzlZOB2zGomqVSU,Tour De Force,Gil Scott-Heron,2019-07-14,569866,1,0.443,0.719,0.81,3.67e-06,0.915,-10.495,0.559,106.926,4
98,B Movie,0kEfub5RzlZOB2zGomqVSU,Tour De Force,Gil Scott-Heron,2019-07-14,431986,9,0.558,0.685,0.721,0.00108,0.326,-13.236,0.574,105.129,4
99,The Bottle,0kEfub5RzlZOB2zGomqVSU,Tour De Force,Gil Scott-Heron,2019-07-14,540853,8,0.468,0.224,0.827,0.00122,0.0662,-11.022,0.12,128.718,4
100,Did You Hear What They Said,0kEfub5RzlZOB2zGomqVSU,Nothing New,Gil Scott-Heron,2015-04-01,242566,11,0.493,0.963,0.12,0.0,0.105,-15.775,0.0526,172.262,3
101,Better Days Ahead,0kEfub5RzlZOB2zGomqVSU,Nothing New,Gil Scott-Heron,2015-04-01,280033,13,0.448,0.972,0.115,0.0014,0.139,-16.244,0.0417,60.508,4
102,Household Name (Interlude),0kEfub5RzlZOB2zGomqVSU,Nothing New,Gil Scott-Heron,2015-04-01,12219,0,0.0,0.491,0.253,0.0,0.112,-17.675,0.0,0.0,0
103,Your Daddy Loves You,0kEfub5RzlZOB2zGomqVSU,Nothing New,Gil Scott-Heron,2015-04-01,246208,26,0.731,0.968,0.189,0.00613,0.129,-14.003,0.0505,115.934,4
104,Changing Yourself (Interlude),0kEfub5RzlZOB2zGomqVSU,Nothing New,Gil Scott-Heron,2015-04-01,10732,0,0.0,0.908,0.171,6.76e-06,0.125,-22.358,0.0,0.0,0
105,Pieces Of A Man,0kEfub5RzlZOB2zGomqVSU,Nothing New,Gil Scott-Heron,2015-04-01,276121,16,0.518,0.857,0.161,0.0,0.113,-12.746,0.0829,149.22,3
106,Enjoying Yourself (Interlude),0kEfub5RzlZOB2zGomqVSU,Nothing New,Gil Scott-Heron,2015-04-01,13934,0,0.0,0.857,0.305,0.0,0.692,-18.556,0.0,0.0,0
107,Alien (Hold On To Your Dreams),0kEfub5RzlZOB2zGomqVSU,Nothing New,Gil Scott-Heron,2015-04-01,181000,29,0.603,0.975,0.273,1.45e-05,0.123,-13.691,0.071,104.832,4
108,Before I Hit The Bottom (Interlude),0kEfub5RzlZOB2zGomqVSU,Nothing New,Gil Scott-Heron,2015-04-01,21078,0,0.704,0.825,0.118,0.0,0.126,-22.676,0.308,81.475,4
109,95 South (All Of The Places We've Been),0kEfub5RzlZOB2zGomqVSU,Nothing New,Gil Scott-Heron,2015-04-01,192863,9,0.491,0.931,0.202,0.00521,0.0779,-15.974,0.0584,174.969,4
110,The Other Side,0kEfub5RzlZOB2zGomqVSU,Nothing New,Gil Scott-Heron,2015-04-01,184833,9,0.566,0.934,0.266,3.47e-06,0.127,-13.741,0.0968,148.777,3
111,The On/Off Switch (Interlude),0kEfub5RzlZOB2zGomqVSU,Nothing New,Gil Scott-Heron,2015-04-01,26137,0,0.661,0.669,0.197,0.0,0.106,-21.985,0.796,140.041,3
112,Blue Collar,0kEfub5RzlZOB2zGomqVSU,Nothing New,Gil Scott-Heron,2015-04-01,234794,15,0.575,0.927,0.207,0.000256,0.09,-14.09,0.0393,100.916,4
113,On Bobby Blue Bland (Interlude),0kEfub5RzlZOB2zGomqVSU,Nothing New,Gil Scott-Heron,2015-04-01,17536,0,0.632,0.504,0.179,7.55e-06,0.257,-23.486,0.84,61.485,4
114,Johannesburg,0kEfub5RzlZOB2zGomqVSU,Johannesburg,Gil Scott-Heron,2015-02-27,327866,21,0.646,0.78,0.612,2.67e-06,0.387,-11.637,0.44,115.915,4
115,Washington DC,0kEfub5RzlZOB2zGomqVSU,Johannesburg,Gil Scott-Heron,2015-02-27,414746,7,0.649,0.801,0.5,0.00042,0.71,-13.941,0.237,107.074,4
116,Shut 'em down,0kEfub5RzlZOB2zGomqVSU,Johannesburg,Gil Scott-Heron,2015-02-27,421573,8,0.578,0.629,0.631,4.34e-05,0.412,-12.716,0.376,107.627,4
117,Winter in America,0kEfub5RzlZOB2zGomqVSU,Johannesburg,Gil Scott-Heron,2015-02-27,527093,23,0.414,0.919,0.386,0.000221,0.439,-14.232,0.184,151.735,4
118,Hold on to your dreams,0kEfub5RzlZOB2zGomqVSU,Johannesburg,Gil Scott-Heron,2015-02-27,574360,6,0.514,0.778,0.716,0.0,0.952,-11.675,0.555,112.131,4
119,Is that Jazz?,0kEfub5RzlZOB2zGomqVSU,Johannesburg,Gil Scott-Heron,2015-02-27,309186,9,0.413,0.824,0.538,0.0004,0.744,-12.545,0.299,147.682,4
120,Blue Collar,0kEfub5RzlZOB2zGomqVSU,Johannesburg,Gil Scott-Heron,2015-02-27,703506,6,0.442,0.813,0.65,0.000969,0.561,-13.2,0.519,93.358,4
121,The Bottle,0kEfub5RzlZOB2zGomqVSU,Johannesburg,Gil Scott-Heron,2015-02-27,543413,35,0.481,0.406,0.739,0.000281,0.0496,-12.045,0.106,132.328,4
122,Three miles down,0kEfub5RzlZOB2zGomqVSU,Johannesburg,Gil Scott-Heron,2015-02-27,398080,8,0.641,0.799,0.523,9.27e-05,0.335,-13.593,0.0833,101.084,4
123,Gun,0kEfub5RzlZOB2zGomqVSU,Johannesburg,Gil Scott-Heron,2015-02-27,258666,16,0.637,0.7,0.591,3.1e-05,0.365,-13.375,0.276,109.92,4
124,Save the children,0kEfub5RzlZOB2zGomqVSU,Johannesburg,Gil Scott-Heron,2015-02-27,479813,9,0.338,0.856,0.28,0.000895,0.674,-15.975,0.0371,79.803,4
125,B Movie (aint really a life),0kEfub5RzlZOB2zGomqVSU,Johannesburg,Gil Scott-Heron,2015-02-27,498080,7,0.596,0.761,0.593,7.34e-05,0.302,-14.599,0.719,107.891,4
126,Lady Day and John Coltrane,0kEfub5RzlZOB2zGomqVSU,The Revolution Begins: The Flying Dutchman Masters (Sampler),Gil Scott-Heron,2012-12-12,216386,5,0.759,0.449,0.638,5.26e-06,0.274,-10.211,0.0333,149.436,4
127,The Revolution Will Not Be Televised,0kEfub5RzlZOB2zGomqVSU,The Revolution Begins: The Flying Dutchman Masters (Sampler),Gil Scott-Heron,2012-12-12,187360,6,0.561,0.552,0.765,0.0,0.111,-9.764,0.207,177.614,4
128,Home Is Where the Hatred Is,0kEfub5RzlZOB2zGomqVSU,The Revolution Begins: The Flying Dutchman Masters (Sampler),Gil Scott-Heron,2012-12-12,201386,6,0.707,0.268,0.711,0.00526,0.291,-9.454,0.0328,98.381,4
129,Did You Hear What They Said?,0kEfub5RzlZOB2zGomqVSU,The Revolution Begins: The Flying Dutchman Masters (Sampler),Gil Scott-Heron,2012-12-12,209693,5,0.676,0.399,0.362,0.0758,0.0893,-11.323,0.0496,137.061,4
